Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Bracket Stage new,Open Pro,Bracket A,Round of 16,Best of 3,Triple X,nerds in disguise,Triple X,15,13,15,10,,,Laura Kunzelmann,Paul Siemer,,,Stefan Handschmann,David Jindra,,
Bracket Stage new,Open Pro,Bracket A,Round of 16,Best of 3,Pour sophie,🖕🔄,Pour sophie,15,13,15,13,,,Dorian Améziane,Louis Mareschal,,,Tim Bichler,Marcus Gauterin,,
Bracket Stage new,Open Pro,Bracket A,Round of 16,Best of 3,Christiani/Harder,TV Time,Christiani/Harder,15,7,15,6,,,Jonathan Harder,Lucas Christiani,,,Frederik Theunis,Gauthier Vandamme,,
Bracket Stage new,Open Pro,Bracket A,Round of 16,Best of 3,BRRRAS,BigBoys,BigBoys,7,15,10,15,,,Lucas Alexandre Rohrbach,Mathias Felipe Rios Rohrbach,,,Luca Tosatti,Matteo Sacchini,,
Bracket Stage new,Open Pro,Bracket A,P17: Round of 16,Single game,Pipino,TWN - Peng / Chen,Pipino,15,13,,,,,Giacomo Merlin,riccardo mercadini,,,Oriol Gonzalez,Søren Høy,,
Bracket Stage new,Open Pro,Bracket A,Quarter-final,Best of 3,Zwaffle everyone,BigBoys,Zwaffle everyone,15,7,5,15,15,10,Robin Florinda,Levi Vandaele,,,Luca Tosatti,Matteo Sacchini,,
Bracket Stage new,Open Pro,Bracket A,Quarter-final,Best of 3,NEM - Bazzani/Borsotti,Christiani/Harder,NEM - Bazzani/Borsotti,2,15,15,10,17,15,Andrea Borsotti,Nicola Bazzani,,,Jonathan Harder,Lucas Christiani,,
Bracket Stage new,Open Pro,Bracket A,Quarter-final,Best of 3,Misty Moonshot,Pour sophie,Pour sophie,13,15,15,9,8,15,Théo Vanh Hemelryck,Pierre Lecrosnier,,,Dorian Améziane,Louis Mareschal,,
Bracket Stage new,Open Pro,Bracket A,Quarter-final,Best of 3,Willy Wonka,Triple X,Willy Wonka,16,17,15,12,15,13,Rasmus Prüfer,Emil Grönebaum,,,Laura Kunzelmann,Paul Siemer,,
Bracket Stage new,Open Pro,Bracket A,P9: Quarter-final,Single game,BRRRAS,Off Grid Grinders,Off Grid Grinders,9,21,,,,,Lucas Alexandre Rohrbach,Mathias Felipe Rios Rohrbach,,,Georg Seiffarth,Pascal Schlosser,,
Bracket Stage new,Open Pro,Bracket A,P9: Quarter-final,Single game,nerds in disguise,Le Spiko de Familia,nerds in disguise,1,0,,,,,Stefan Handschmann,David Jindra,,,Andreas Christensen,Kasper Søvndal,,
Bracket Stage new,Open Pro,Bracket A,P9: Quarter-final,Single game,TV Time,Smile,Smile,10,21,,,,,Frederik Theunis,Gauthier Vandamme,,,Gabriel Stoisser,Felix Millton,,
Bracket Stage new,Open Pro,Bracket A,P9: Quarter-final,Single game,🖕🔄,Find the surname,Find the surname,19,21,,,,,Tim Bichler,Marcus Gauterin,,,Roman Peter,Yannick Robert,,
Bracket Stage new,Open Pro,Bracket A,P17: Quarter-final,Single game,OussaMaë,Pipino,Pipino,14,21,,,,,Maëlig Potiau,Oussama Tchita,,,Giacomo Merlin,riccardo mercadini,,
Bracket Stage new,Open Pro,Bracket A,P17: Quarter-final,Single game,Anderle/Petersen,Roundnet Palombie,Roundnet Palombie,17,21,,,,,Markus Anderle,Jan Petersen,,,Yanis Bouchemoua,Aymeric Sandoz,,
Bracket Stage new,Open Pro,Bracket A,P17: Quarter-final,Single game,put ons,Package E?,put ons,21,15,,,,,Dominik Moritz,Aleksandrs Juška,,,Erik Borja Forschner Mitre,Marcos Bermudez Muratel,,
Bracket Stage new,Open Pro,Bracket A,P17: Quarter-final,Single game,Leidenfrost/Perriraz,Minor,Leidenfrost/Perriraz,21,15,,,,,Nicolas Perriraz,David Leidenfrost,,,Max Jansson,Paul Halphen,,
Bracket Stage new,Open Pro,Bracket A,Semi-final,Best of 3,Zwaffle everyone,Willy Wonka,Willy Wonka,11,21,15,21,,,Robin Florinda,Levi Vandaele,,,Rasmus Prüfer,Emil Grönebaum,,
