Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Bracket Play,Women's Pro,Bracket A,Round of 16,Best of 3,Tea Time,Tessa & Lyd,Tea Time,21,10,21,6,,,Lou Washburn,Joelle Nguyen,,Lydia Malone,Tessa White,
Bracket Play,Women's Pro,Bracket A,Round of 16,Best of 3,Ruach,Blind Date,Ruach,21,11,21,9,,,Bekah Smith,Julia Brochu,,Antonia Dreiling,Katrina Gabriella,
Bracket Play,Women's Pro,Bracket A,Round of 16,Best of 3,Phan/Raber,:-D,Phan/Raber,21,16,21,19,,,Delanie Raber,Katheleen Phan,,Carina Kuo,Tung Lin,
Bracket Play,Women's Pro,Bracket A,Round of 16,Best of 3,THE BOYS,Loopy Juice,THE BOYS,21,10,21,11,,,Jaime Cunningham,Sylvia Dean,,Lourna Szabanos,Kate B,
Bracket Play,Women's Pro,Bracket A,Round of 16,Best of 3,Sharing is Caring,Space Monkeys 🚀🐒,Space Monkeys 🚀🐒,11,21,17,21,,,Meagan Bown,Adrianna Grothause,,Rafaela Bastos,Stef Ding,
Bracket Play,Women's Pro,Bracket A,Quarter-final,Best of 3,Royalty,Space Monkeys 🚀🐒,Royalty,21,15,21,16,,,Laurence Vallée,Katie Pierson,,Rafaela Bastos,Stef Ding,
Bracket Play,Women's Pro,Bracket A,Quarter-final,Best of 3,VVM,THE BOYS,VVM,21,18,21,18,,,Olivia Jenki,Allie Foster,,Jaime Cunningham,Sylvia Dean,
Bracket Play,Women's Pro,Bracket A,Quarter-final,Best of 3,angst,Phan/Raber,angst,21,14,21,10,,,Sarah Allen,Kalin Morgan,,Delanie Raber,Katheleen Phan,
Bracket Play,Women's Pro,Bracket A,Quarter-final,Best of 3,Tea Time,Ruach,Tea Time,22,24,23,21,21,8,Lou Washburn,Joelle Nguyen,,Bekah Smith,Julia Brochu,
Bracket Play,Women's Pro,Bracket A,P9: Quarter-final,Single game,Sharing is Caring,Juice,Sharing is Caring,21,14,,,,,Meagan Bown,Adrianna Grothause,,Janey Rubin,Rachel Dolan,
Bracket Play,Women's Pro,Bracket A,P9: Quarter-final,Single game,Loopy Juice,Cheesin,Loopy Juice,22,20,,,,,Lourna Szabanos,Kate B,,Bel Belvedere,Amanda Jamieson,
Bracket Play,Women's Pro,Bracket A,P9: Quarter-final,Single game,Blind Date,Tessa & Lyd,Blind Date,0,-2,,,,,Antonia Dreiling,Katrina Gabriella,,Lydia Malone,Tessa White,
Bracket Play,Women's Pro,Bracket A,Semi-final,Best of 3,Royalty,Tea Time,Royalty,21,19,21,15,,,Laurence Vallée,Katie Pierson,,Lou Washburn,Joelle Nguyen,
Bracket Play,Women's Pro,Bracket A,Semi-final,Best of 3,VVM,angst,VVM,18,21,21,18,22,20,Olivia Jenki,Allie Foster,,Sarah Allen,Kalin Morgan,
Bracket Play,Women's Pro,Bracket A,Final,Best of 3,Royalty,VVM,VVM,0,1,0,1,,,Laurence Vallée,Katie Pierson,,Olivia Jenki,Allie Foster,
Bracket Play,Women's Pro,Bracket A,P3: Final,Best of 3,angst,Tea Time,angst,21,13,21,13,,,Sarah Allen,Kalin Morgan,,Lou Washburn,Joelle Nguyen,
