Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Group Stage,Women's Contender,Group A,4,Single game,KickStart,ellelowe sebmarine,KickStart,21,19,,,,,,,,,Sarah Allen,Karah Hui,,,Elle Lowe,Sebastiani Kim,,
Group Stage,Women's Contender,Group A,4,Single game,THUS Parabatai,Semi-Aquatic Mammals of Action,THUS Parabatai,21,12,,,,,,,,,Kayla Wu,Kalin Morgan,,,Joelle Nguyen,Jhanaj Quispe,,
Group Stage,Women's Contender,Group B,4,Single game,Berk/Gahley,PEACHES,Berk/Gahley,21,14,,,,,,,,,Nicol Gahley,Shaina Berk,,,Lourna Szabanos,Kailey Windsor,,
Group Stage,Women's Contender,Group B,4,Single game,WA-ID,kara & chloe,WA-ID,21,11,,,,,,,,,Maia Aton,Lindy Westendorf,,,chloe degraff,kara klavins,,
Group Stage,Women's Contender,Group C,4,Single game,Soft Serve,Musty and Traveler,Soft Serve,21,7,,,,,,,,,Perrin York,Kayla Ngai,,,Abby Cham,Alex Veron,,
Group Stage,Women's Contender,Group C,4,Single game,Heatwaves,The Tolpin Queens,Heatwaves,21,8,,,,,,,,,Jessica Borgers,Becca Feller,,,Karaline Tolpin,Megan Tolpin,,
Group Stage,Women's Contender,Group A,5,Single game,Pierson/Phan,KickStart,KickStart,18,21,,,,,,,,,Katheleen Phan,Katie Pierson,,,Sarah Allen,Karah Hui,,
Group Stage,Women's Contender,Group A,5,Single game,ellelowe sebmarine,THUS Parabatai,THUS Parabatai,16,21,,,,,,,,,Elle Lowe,Sebastiani Kim,,,Kayla Wu,Kalin Morgan,,
Group Stage,Women's Contender,Group B,5,Single game,Dough Boys,Berk/Gahley,Dough Boys,21,14,,,,,,,,,Kirstie Savage,Camille Anderson,,,Nicol Gahley,Shaina Berk,,
Group Stage,Women's Contender,Group B,5,Single game,PEACHES,WA-ID,PEACHES,21,18,,,,,,,,,Lourna Szabanos,Kailey Windsor,,,Maia Aton,Lindy Westendorf,,
Group Stage,Women's Contender,Group C,5,Single game,Carry Set,Soft Serve,Carry Set,21,12,,,,,,,,,Malia Wanderer,Abigale Lamontagne,,,Perrin York,Kayla Ngai,,
Group Stage,Women's Contender,Group C,5,Single game,Musty and Traveler,Heatwaves,Musty and Traveler,21,17,,,,,,,,,Abby Cham,Alex Veron,,,Jessica Borgers,Becca Feller,,
Bracket Stage,Women's Contender,Bracket A,Round of 16,Best of 3,THUS Parabatai,The Tolpin Queens,THUS Parabatai,1,0,1,0,,,,,,,Kayla Wu,Kalin Morgan,,,Karaline Tolpin,Megan Tolpin,,
Bracket Stage,Women's Contender,Bracket A,Round of 16,Best of 3,ellelowe sebmarine,kara & chloe,ellelowe sebmarine,21,14,21,11,,,,,,,Elle Lowe,Sebastiani Kim,,,chloe degraff,kara klavins,,
Bracket Stage,Women's Contender,Bracket A,Round of 16,Best of 3,Pierson/Phan,Heatwaves,Pierson/Phan,21,7,21,9,,,,,,,Katheleen Phan,Katie Pierson,,,Jessica Borgers,Becca Feller,,
Bracket Stage,Women's Contender,Bracket A,Round of 16,Best of 3,Semi-Aquatic Mammals of Action,WA-ID,Semi-Aquatic Mammals of Action,23,25,21,13,21,14,,,,,Joelle Nguyen,Jhanaj Quispe,,,Maia Aton,Lindy Westendorf,,
